Category ID,Category Path,Standard Fee Rate,Basic Fee Rate,Premium Fee Rate,Anchor Fee Rate
162912,Antiques > Furniture > Tables > Unknown,10%,9.15%,9.15%,9.15%
162913,Antiques > Furniture > Parts & Salvaged Pieces,10%,9.15%,9.15%,9.15%
171166,Antiques > Furniture > Price Guides & Publications,10%,9.15%,9.15%,9.15%
63589,Antiques > Furniture > Other Antique Furniture,10%,9.15%,9.15%,9.15%
163009,Antiques > Home & Hearth > Baby Carriages & Buggies,10%,9.15%,9.15%,9.15%
163010,Antiques > Home & Hearth > Baby Cradles,10%,9.15%,9.15%,9.15%
163011,Antiques > Home & Hearth > Bath Tubs,10%,9.15%,9.15%,9.15%
163012,Antiques > Home & Hearth > Clothing Wringers,10%,9.15%,9.15%,9.15%
163013,Antiques > Home & Hearth > Hearth Ware,10%,9.15%,9.15%,9.15%
163014,Antiques > Home & Hearth > Ice Boxes,10%,9.15%,9.15%,9.15%
163015,Antiques > Home & Hearth > Meat Grinders,10%,9.15%,9.15%,9.15%
163016,Antiques > Home & Hearth > Sinks,10%,9.15%,9.15%,9.15%
163017,Antiques > Home & Hearth > Stoves,10%,9.15%,9.15%,9.15%
163018,Antiques > Home & Hearth > Toasters,10%,9.15%,9.15%,9.15%
151724,Antiques > Home & Hearth > Trivets,10%,9.15%,9.15%,9.15%
163057,Antiques > Home & Hearth > Washing Machines,10%,9.15%,9.15%,9.15%
163058,Antiques > Home & Hearth > Other Antique Home & Hearth,10%,9.15%,9.15%,9.15%
22422,Antiques > Incunabula,10%,9.15%,9.15%,9.15%
166292,Antiques > Linens & Textiles (Pre-1930) > Bed & Bath Linens > Bedspreads & Coverlets,10%,9.15%,9.15%,9.15%
166293,Antiques > Linens & Textiles (Pre-1930) > Bed & Bath Linens > Blankets,10%,9.15%,9.15%,9.15%
166294,Antiques > Linens & Textiles (Pre-1930) > Bed & Bath Linens > Pillowcases,10%,9.15%,9.15%,9.15%
166295,Antiques > Linens & Textiles (Pre-1930) > Bed & Bath Linens > Sheets,10%,9.15%,9.15%,9.15%
166296,Antiques > Linens & Textiles (Pre-1930) > Bed & Bath Linens > Towels,10%,9.15%,9.15%,9.15%
166297,Antiques > Linens & Textiles (Pre-1930) > Bed & Bath Linens > Other Antique Bed & Bath Linen,10%,9.15%,9.15%,9.15%
20117,Antiques > Linens & Textiles (Pre-1930) > Embroidery,10%,9.15%,9.15%,9.15%
66639,Antiques > Linens & Textiles (Pre-1930) > Fabric > Chenille,10%,9.15%,9.15%,9.15%
38001,Antiques > Linens & Textiles (Pre-1930) > Fabric > Cotton,10%,9.15%,9.15%,9.15%
66640,Antiques > Linens & Textiles (Pre-1930) > Fabric > Damask,10%,9.15%,9.15%,9.15%
66641,Antiques > Linens & Textiles (Pre-1930) > Fabric > Linen,10%,9.15%,9.15%,9.15%
38002,Antiques > Linens & Textiles (Pre-1930) > Fabric > Silk,10%,9.15%,9.15%,9.15%
66642,Antiques > Linens & Textiles (Pre-1930) > Fabric > Velvet,10%,9.15%,9.15%,9.15%
38003,Antiques > Linens & Textiles (Pre-1930) > Fabric > Wool,10%,9.15%,9.15%,9.15%
73469,Antiques > Linens & Textiles (Pre-1930) > Fabric > Other Antique Fabric,10%,9.15%,9.15%,9.15%
163107,Antiques > Linens & Textiles (Pre-1930) > Feed & Flour Sacks,10%,9.15%,9.15%,9.15%
163108,Antiques > Linens & Textiles (Pre-1930) > Handkerchiefs,10%,9.15%,9.15%,9.15%
39450,Antiques > Linens & Textiles (Pre-1930) > Kitchen & Table Linens > Napkins,10%,9.15%,9.15%,9.15%
163110,Antiques > Linens & Textiles (Pre-1930) > Kitchen & Table Linens > Placemats,10%,9.15%,9.15%,9.15%
39451,Antiques > Linens & Textiles (Pre-1930) > Kitchen & Table Linens > Runners,10%,9.15%,9.15%,9.15%
39453,Antiques > Linens & Textiles (Pre-1930) > Kitchen & Table Linens > Tablecloths,10%,9.15%,9.15%,9.15%
39454,Antiques > Linens & Textiles (Pre-1930) > Kitchen & Table Linens > Towels,10%,9.15%,9.15%,9.15%
2220,Antiques > Linens & Textiles (Pre-1930) > Kitchen & Table Linens > Other Antique Table Linens,10%,9.15%,9.15%,9.15%
